Age,Gender,Period,Unemployed
65 years and over,Women,Aug-07,84000
65 years and over,Men,Sep-07,19000
65 years and over,Women,Sep-07,92000
65 years and over,Men,Oct-07,29000
65 years and over,Women,Oct-07,76000
65 years and over,Men,Nov-07,33000
65 years and over,Women,Nov-07,89000
65 years and over,Men,Dec-07,36000
65 years and over,Women,Dec-07,77000
65 years and over,Men,Jan-08,39000
65 years and over,Women,Jan-08,99000
65 years and over,Men,Feb-08,31000
65 years and over,Women,Feb-08,106000
65 years and over,Men,Mar-08,34000
65 years and over,Women,Mar-08,101000
65 years and over,Men,Apr-08,33000
65 years and over,Women,Apr-08,98000
65 years and over,Men,May-08,27000
65 years and over,Women,May-08,67000
65 years and over,Men,Jun-08,25000
65 years and over,Women,Jun-08,99000
65 years and over,Men,Jul-08,37000
65 years and over,Women,Jul-08,133000
65 years and over,Men,Aug-08,50000
65 years and over,Women,Aug-08,149000
65 years and over,Men,Sep-08,46000
65 years and over,Women,Sep-08,125000
65 years and over,Men,Oct-08,45000
65 years and over,Women,Oct-08,146000
65 years and over,Men,Nov-08,57000
65 years and over,Women,Nov-08,95000
65 years and over,Men,Dec-08,66000
65 years and over,Women,Dec-08,109000
65 years and over,Men,Jan-09,78000
65 years and over,Women,Jan-09,146000
65 years and over,Men,Feb-09,100000
65 years and over,Women,Feb-09,167000
65 years and over,Men,Mar-09,80000
65 years and over,Women,Mar-09,160000
65 years and over,Men,Apr-09,79000
65 years and over,Women,Apr-09,145000
65 years and over,Men,May-09,87000
65 years and over,Women,May-09,171000
65 years and over,Men,Jun-09,107000
65 years and over,Women,Jun-09,197000
65 years and over,Men,Jul-09,109000
65 years and over,Women,Jul-09,210000
65 years and over,Men,Aug-09,105000
65 years and over,Women,Aug-09,196000
65 years and over,Men,Sep-09,119000
65 years and over,Women,Sep-09,210000
65 years and over,Men,Oct-09,102000
65 years and over,Women,Oct-09,188000
65 years and over,Men,Nov-09,115000
65 years and over,Women,Nov-09,184000
65 years and over,Men,Dec-09,123000
65 years and over,Women,Dec-09,186000
65 years and over,Men,Jan-10,136000
65 years and over,Women,Jan-10,195000
65 years and over,Men,Feb-10,144000
65 years and over,Women,Feb-10,228000
65 years and over,Men,Mar-10,132000
65 years and over,Women,Mar-10,191000
65 years and over,Men,Apr-10,151000
65 years and over,Women,Apr-10,156000
65 years and over,Men,May-10,144000
65 years and over,Women,May-10,172000
65 years and over,Men,Jun-10,115000
65 years and over,Women,Jun-10,161000
65 years and over,Men,Jul-10,135000
65 years and over,Women,Jul-10,213000
65 years and over,Men,Aug-10,134000
65 years and over,Women,Aug-10,197000
65 years and over,Men,Sep-10,134000
65 years and over,Women,Sep-10,192000
65 years and over,Men,Oct-10,141000
65 years and over,Women,Oct-10,158000
65 years and over,Men,Nov-10,173000
65 years and over,Women,Nov-10,205000
65 years and over,Men,Dec-10,157000
65 years and over,Women,Dec-10,182000
65 years and over,Men,Jan-11,152000
65 years and over,Women,Jan-11,205000
65 years and over,Men,Feb-11,145000
65 years and over,Women,Feb-11,190000
65 years and over,Men,Mar-11,140000
65 years and over,Women,Mar-11,175000
65 years and over,Men,Apr-11,137000
65 years and over,Women,Apr-11,161000
65 years and over,Men,May-11,148000
65 years and over,Women,May-11,184000
65 years and over,Men,Jun-11,148000
65 years and over,Women,Jun-11,166000
65 years and over,Men,Jul-11,159000
65 years and over,Women,Jul-11,219000
65 years and over,Men,Aug-11,153000
65 years and over,Women,Aug-11,227000
65 years and over,Men,Sep-11,168000
65 years and over,Women,Sep-11,224000
65 years and over,Men,Oct-11,157000
65 years and over,Women,Oct-11,263000
65 years and over,Men,Nov-11,172000
65 years and over,Women,Nov-11,230000
65 years and over,Men,Dec-11,150000
65 years and over,Women,Dec-11,208000
65 years and over,Men,Jan-12,130000
65 years and over,Women,Jan-12,201000
65 years and over,Men,Feb-12,118000
65 years and over,Women,Feb-12,230000
65 years and over,Men,Mar-12,118000
65 years and over,Women,Mar-12,191000
65 years and over,Men,Apr-12,133000
65 years and over,Women,Apr-12,212000
65 years and over,Men,May-12,171000
65 years and over,Women,May-12,228000
65 years and over,Men,Jun-12,184000
65 years and over,Women,Jun-12,235000
65 years and over,Men,Jul-12,168000
65 years and over,Women,Jul-12,244000
65 years and over,Men,Aug-12,152000
65 years and over,Women,Aug-12,243000
65 years and over,Men,Sep-12,162000
65 years and over,Women,Sep-12,196000
65 years and over,Men,Oct-12,120000
65 years and over,Women,Oct-12,206000
65 years and over,Men,Nov-12,115000
65 years and over,Women,Nov-12,195000
65 years and over,Men,Dec-12,97000
65 years and over,Women,Dec-12,191000
65 years and over,Men,Jan-13,125000
65 years and over,Women,Jan-13,219000
65 years and over,Men,Feb-13,131000
65 years and over,Women,Feb-13,198000
65 years and over,Men,Mar-13,128000
65 years and over,Women,Mar-13,187000
65 years and over,Men,Apr-13,149000
65 years and over,Women,Apr-13,180000
65 years and over,Men,May-13,135000
65 years and over,Women,May-13,143000
65 years and over,Men,Jun-13,116000
65 years and over,Women,Jun-13,226000
65 years and over,Men,Jul-13,106000
65 years and over,Women,Jul-13,170000
65 years and over,Men,Aug-13,78000
65 years and over,Women,Aug-13,167000
65 years and over,Men,Sep-13,91000
65 years and over,Women,Sep-13,195000
65 years and over,Men,Oct-13,97000
65 years and over,Women,Oct-13,186000
65 years and over,Men,Nov-13,97000
65 years and over,Women,Nov-13,179000
65 years and over,Men,Dec-13,82000
65 years and over,Women,Dec-13,169000
65 years and over,Men,Jan-14,93000
65 years and over,Women,Jan-14,179000
65 years and over,Men,Feb-14,76000
65 years and over,Women,Feb-14,173000
65 years and over,Men,Mar-14,76000
65 years and over,Women,Mar-14,151000
65 years and over,Men,Apr-14,105000
65 years and over,Women,Apr-14,143000
65 years and over,Men,May-14,84000
65 years and over,Women,May-14,183000
65 years and over,Men,Jun-14,114000
65 years and over,Women,Jun-14,172000
65 years and over,Men,Jul-14,97000
65 years and over,Women,Jul-14,213000
65 years and over,Men,Aug-14,95000
65 years and over,Women,Aug-14,257000
65 years and over,Men,Sep-14,79000
65 years and over,Women,Sep-14,193000
65 years and over,Men,Oct-14,84000
65 years and over,Women,Oct-14,188000
65 years and over,Men,Nov-14,122000
65 years and over,Women,Nov-14,141000
65 years and over,Men,Dec-14,110000
65 years and over,Women,Dec-14,128000
65 years and over,Men,Jan-15,97000
65 years and over,Women,Jan-15,157000
65 years and over,Men,Feb-15,100000
65 years and over,Women,Feb-15,174000
